InvoiceID,Date,CustomerID,ProductID,BusinessUnit,Region,SalespersonID,Quantity,UnitPrice,DiscountPct,Revenue,DiscountAmount,TaxPct,TaxAmount,NetRevenue
INV-2023-0023,2023-08-19,C014,P035,EU Export,Spain,S08,25,870.13,0.05,21753.25,1087.66,0.21,4339.77,25005.36
INV-2024-0024,2024-10-15,C065,P006,UK Domestic,South UK,S03,30,131.02,0.0,3930.6,0.0,0.2,786.12,4716.72
INV-2024-0025,2024-09-01,C072,P010,UK Domestic,South UK,S03,3,1533.65,0.0,4600.95,0.0,0.2,920.19,5521.14
INV-2023-0026,2023-11-19,C067,P031,UK Domestic,Scotland,S06,1,704.72,0.0,704.72,0.0,0.2,140.94,845.66
INV-2023-0027,2023-11-13,C019,P004,EU Export,Germany,S07,8,532.88,0.1,4263.04,426.3,0.19,728.98,4565.72
INV-2023-0028,2023-09-13,C045,P023,UK Domestic,Midlands,S05,8,52.42,0.15,419.36,62.9,0.2,71.29,427.75
INV-2024-0029,2024-12-10,C021,P016,EU Export,Spain,S08,8,116.88,0.0,935.04,0.0,0.21,196.36,1131.4
INV-2023-0030,2023-02-05,C051,P016,UK Domestic,South UK,S03,2,115.82,0.0,231.64,0.0,0.2,46.33,277.97
INV-2024-0031,2024-11-07,C020,P005,EU Export,France,S08,10,134.84,0.15,1348.4,202.26,0.2,229.23,1375.37
INV-2023-0032,2023-07-16,C055,P026,EU Export,France,S08,5,59.05,0.05,295.25,14.76,0.2,56.1,336.59
INV-2023-0033,2023-10-13,C053,P020,UK Domestic,Scotland,S06,10,242.48,0.0,2424.8,0.0,0.2,484.96,2909.76
INV-2024-0034,2024-09-21,C026,P006,EU Export,Germany,S07,1,128.86,0.05,128.86,6.44,0.19,23.26,145.68
INV-2024-0035,2024-05-30,C002,P016,UK Domestic,South UK,S03,5,111.47,0.05,557.35,27.87,0.2,105.9,635.38
INV-2023-0036,2023-05-28,C057,P013,UK Domestic,North UK,S01,40,219.22,0.0,8768.8,0.0,0.2,1753.76,10522.56
INV-2023-0037,2023-09-25,C009,P035,UK Domestic,South UK,S04,30,827.33,0.0,24819.9,0.0,0.2,4963.98,29783.88
INV-2024-0038,2024-05-18,C066,P018,UK Domestic,Midlands,S05,10,111.19,0.0,1111.9,0.0,0.2,222.38,1334.28
INV-2023-0039,2023-03-31,C072,P033,UK Domestic,South UK,S04,15,562.63,0.0,8439.45,0.0,0.2,1687.89,10127.34
INV-2023-0040,2023-10-01,C060,P032,UK Domestic,Scotland,S06,30,88.06,0.05,2641.8,132.09,0.2,501.94,3011.65
INV-2024-0041,2024-05-05,C007,P006,EU Export,Spain,S08,30,122.0,0.05,3660.0,183.0,0.21,730.17,4207.17
INV-2023-0042,2023-01-09,C008,P022,UK Domestic,North UK,S01,1,55.4,0.0,55.4,0.0,0.2,11.08,66.48
INV-2024-0043,2024-02-17,C057,P021,UK Domestic,North UK,S02,5,87.34,0.05,436.7,21.84,0.2,82.97,497.83
INV-2023-0044,2023-07-13,C026,P025,EU Export,Germany,S07,15,276.8,0.05,4152.0,207.6,0.19,749.44,4693.84
INV-2024-0045,2024-05-16,C047,P003,EU Export,Germany,S07,8,1193.42,0.0,9547.36,0.0,0.19,1814.0,11361.36
INV-2023-0046,2023-07-18,C077,P013,EU Export,Spain,S08,30,212.93,0.05,6387.9,319.4,0.21,1274.38,7342.88
INV-2024-0047,2024-08-23,C044,P018,UK Domestic,South UK,S03,10,109.51,0.0,1095.1,0.0,0.2,219.02,1314.12
INV-2024-0048,2024-07-02,C024,P001,UK Domestic,Midlands,S05,15,2577.97,0.0,38669.55,0.0,0.2,7733.91,46403.46
INV-2024-0049,2024-11-27,C077,P034,EU Export,Spain,S08,8,537.03,0.0,4296.24,0.0,0.21,902.21,5198.45
INV-2024-0050,2024-11-19,C039,P038,UK Domestic,Scotland,S06,50,233.32,0.1,11666.0,1166.6,0.2,2099.88,12599.28
INV-2023-0051,2023-08-23,C034,P030,EU Export,France,S08,8,68.79,0.0,550.32,0.0,0.2,110.06,660.38
INV-2024-0052,2024-02-24,C075,P023,EU Export,Germany,S07,15,54.15,0.0,812.25,0.0,0.19,154.33,966.58
INV-2024-0053,2024-04-15,C079,P005,UK Domestic,South UK,S03,10,136.8,0.1,1368.0,136.8,0.2,246.24,1477.44
INV-2024-0054,2024-07-15,C058,P023,UK Domestic,South UK,S03,8,54.97,0.0,439.76,0.0,0.2,87.95,527.71
INV-2024-0055,2024-09-02,C066,P031,UK Domestic,Midlands,S05,40,713.97,0.0,28558.8,0.0,0.2,5711.76,34270.56
INV-2024-0056,2024-01-02,C065,P021,UK Domestic,South UK,S04,20,81.92,0.05,1638.4,81.92,0.2,311.3,1867.78
INV-2024-0057,2024-10-26,C028,P012,EU Export,Spain,S08,2,341.04,0.05,682.08,34.1,0.21,136.08,784.06
INV-2023-0058,2023-02-04,C041,P017,EU Export,France,S08,8,125.14,0.05,1001.12,50.06,0.2,190.21,1141.27
INV-2023-0059,2023-01-30,C004,P029,UK Domestic,Scotland,S06,8,64.9,0.0,519.2,0.0,0.2,103.84,623.04
INV-2024-0060,2024-01-22,C064,P007,UK Domestic,North UK,S01,15,370.18,0.0,5552.7,0.0,0.2,1110.54,6663.24
INV-2023-0061,2023-02-19,C045,P017,UK Domestic,Midlands,S05,15,124.15,0.05,1862.25,93.11,0.2,353.83,2122.97
INV-2024-0062,2024-12-18,C045,P011,UK Domestic,Midlands,S05,25,810.26,0.0,20256.5,0.0,0.2,4051.3,24307.8
INV-2023-0063,2023-11-26,C007,P001,EU Export,Spain,S08,50,2577.96,0.05,128898.0,6444.9,0.21,25715.15,148168.25
INV-2024-0064,2024-06-13,C036,P006,UK Domestic,North UK,S01,3,127.02,0.0,381.06,0.0,0.2,76.21,457.27
INV-2024-0065,2024-02-17,C060,P021,UK Domestic,Scotland,S06,5,86.07,0.1,430.35,43.04,0.2,77.46,464.77
INV-2024-0066,2024-07-13,C046,P020,UK Domestic,Scotland,S06,10,236.26,0.0,2362.6,0.0,0.2,472.52,2835.12
INV-2023-0067,2023-10-05,C063,P001,EU Export,Spain,S08,3,2771.82,0.0,8315.46,0.0,0.21,1746.25,10061.71
INV-2023-0068,2023-02-09,C069,P023,EU Export,France,S08,10,52.58,0.0,525.8,0.0,0.2,105.16,630.96
INV-2023-0069,2023-12-27,C041,P006,EU Export,France,S08,10,131.3,0.0,1313.0,0.0,0.2,262.6,1575.6
INV-2024-0070,2024-04-16,C053,P002,UK Domestic,Scotland,S06,8,524.84,0.05,4198.72,209.94,0.2,797.76,4786.54
INV-2024-0071,2024-01-04,C069,P021,EU Export,France,S08,3,87.92,0.0,263.76,0.0,0.2,52.75,316.51
INV-2024-0072,2024-05-05,C004,P019,UK Domestic,Scotland,S06,50,2127.86,0.05,106393.0,5319.65,0.2,20214.67,121288.02
INV-2023-0073,2023-10-26,C054,P015,EU Export,Germany,S07,15,299.25,0.1,4488.75,448.88,0.19,767.58,4807.45
INV-2023-0074,2023-10-24,C077,P033,EU Export,Spain,S08,5,565.67,0.0,2828.35,0.0,0.21,593.95,3422.3
INV-2023-0075,2023-04-06,C003,P003,UK Domestic,Midlands,S05,20,1266.31,0.0,25326.2,0.0,0.2,5065.24,30391.44
INV-2023-0076,2023-09-10,C068,P001,EU Export,Germany,S07,25,2727.55,0.0,68188.75,0.0,0.19,12955.86,81144.61
INV-2023-0077,2023-04-18,C058,P020,UK Domestic,South UK,S04,30,260.48,0.05,7814.4,390.72,0.2,1484.74,8908.42
INV-2024-0078,2024-08-29,C025,P006,UK Domestic,Scotland,S06,20,125.74,0.05,2514.8,125.74,0.2,477.81,2866.87
INV-2024-0079,2024-12-26,C037,P012,UK Domestic,South UK,S04,25,339.73,0.0,8493.25,0.0,0.2,1698.65,10191.9
INV-2024-0080,2024-11-21,C069,P014,EU Export,France,S08,20,680.29,0.05,13605.8,680.29,0.2,2585.1,15510.61
INV-2023-0081,2023-04-07,C072,P016,UK Domestic,South UK,S03,25,115.58,0.0,2889.5,0.0,0.2,577.9,3467.4
INV-2024-0082,2024-10-30,C035,P001,EU Export,Spain,S08,40,2694.3,0.0,107772.0,0.0,0.21,22632.12,130404.12
INV-2023-0083,2023-09-10,C076,P037,EU Export,France,S08,15,1053.85,0.05,15807.75,790.39,0.2,3003.47,18020.83
INV-2023-0084,2023-12-02,C025,P011,UK Domestic,Scotland,S06,20,762.25,0.05,15245.0,762.25,0.2,2896.55,17379.3
INV-2024-0085,2024-08-20,C064,P003,UK Domestic,North UK,S01,10,1253.64,0.0,12536.4,0.0,0.2,2507.28,15043.68
INV-2024-0086,2024-02-18,C039,P032,UK Domestic,Scotland,S06,8,89.12,0.0,712.96,0.0,0.2,142.59,855.55
INV-2023-0087,2023-05-06,C063,P020,EU Export,Spain,S08,2,252.38,0.0,504.76,0.0,0.21,106.0,610.76
INV-2024-0088,2024-06-16,C006,P029,EU Export,France,S08,20,62.22,0.0,1244.4,0.0,0.2,248.88,1493.28
INV-2023-0089,2023-03-23,C078,P012,UK Domestic,North UK,S02,8,344.03,0.05,2752.24,137.61,0.2,522.93,3137.56
INV-2024-0090,2024-12-01,C078,P026,UK Domestic,North UK,S02,8,62.99,0.0,503.92,0.0,0.2,100.78,604.7
INV-2024-0091,2024-08-10,C047,P014,EU Export,Germany,S07,40,682.44,0.0,27297.6,0.0,0.19,5186.54,32484.14
INV-2023-0092,2023-12-28,C001,P015,UK Domestic,North UK,S02,2,282.28,0.0,564.56,0.0,0.2,112.91,677.47
INV-2023-0093,2023-04-18,C054,P025,EU Export,Germany,S07,15,265.33,0.1,3979.95,398.0,0.19,680.57,4262.52
INV-2023-0094,2023-10-17,C025,P031,UK Domestic,Scotland,S06,5,707.34,0.1,3536.7,353.67,0.2,636.61,3819.64
INV-2023-0095,2023-01-12,C077,P002,EU Export,Spain,S08,30,523.47,0.0,15704.1,0.0,0.21,3297.86,19001.96
INV-2024-0096,2024-12-27,C006,P018,EU Export,France,S08,50,109.99,0.0,5499.5,0.0,0.2,1099.9,6599.4
INV-2024-0097,2024-04-26,C058,P015,UK Domestic,South UK,S03,15,279.25,0.05,4188.75,209.44,0.2,795.86,4775.17
INV-2024-0098,2024-11-02,C004,P009,UK Domestic,Scotland,S06,50,56.82,0.1,2841.0,284.1,0.2,511.38,3068.28
INV-2023-0099,2023-12-06,C052,P009,UK Domestic,Midlands,S05,5,56.17,0.0,280.85,0.0,0.2,56.17,337.02
INV-2023-0100,2023-10-04,C049,P003,EU Export,Spain,S08,75,1205.6,0.15,90420.0,13563.0,0.21,16139.97,92996.97
INV-2024-0101,2024-06-14,C046,P010,UK Domestic,Scotland,S06,25,1543.43,0.05,38585.75,1929.29,0.2,7331.29,43987.75
INV-2023-0102,2023-05-20,C072,P029,UK Domestic,South UK,S03,50,59.19,0.05,2959.5,147.98,0.2,562.3,3373.82
INV-2024-0103,2024-04-14,C038,P035,UK Domestic,Midlands,S05,30,886.72,0.0,26601.6,0.0,0.2,5320.32,31921.92
INV-2023-0104,2023-01-26,C034,P028,EU Export,France,S08,75,67.12,0.0,5034.0,0.0,0.2,1006.8,6040.8
INV-2024-0105,2024-03-31,C034,P038,EU Export,France,S08,30,230.66,0.05,6919.8,345.99,0.2,1314.76,7888.57
INV-2023-0106,2023-12-14,C037,P009,UK Domestic,South UK,S04,2,58.89,0.1,117.78,11.78,0.2,21.2,127.2
INV-2024-0107,2024-09-05,C080,P040,UK Domestic,Midlands,S05,15,101.73,0.05,1525.95,76.3,0.2,289.93,1739.58
INV-2024-0108,2024-11-30,C068,P008,EU Export,Germany,S07,10,194.79,0.0,1947.9,0.0,0.19,370.1,2318.0
INV-2024-0109,2024-12-05,C051,P008,UK Domestic,South UK,S04,20,195.19,0.05,3903.8,195.19,0.2,741.72,4450.33
INV-2023-0110,2023-10-07,C009,P022,UK Domestic,South UK,S04,10,54.88,0.05,548.8,27.44,0.2,104.27,625.63
INV-2024-0111,2024-01-20,C068,P018,EU Export,Germany,S07,15,103.77,0.1,1556.55,155.66,0.19,266.17,1667.06
INV-2023-0112,2023-11-04,C011,P001,UK Domestic,Scotland,S06,20,2691.83,0.05,53836.6,2691.83,0.2,10228.95,61373.72
INV-2024-0113,2024-06-18,C019,P005,EU Export,Germany,S07,1,137.71,0.0,137.71,0.0,0.19,26.16,163.87
INV-2024-0114,2024-03-27,C035,P014,EU Export,Spain,S08,40,679.3,0.0,27172.0,0.0,0.21,5706.12,32878.12
INV-2024-0115,2024-01-14,C064,P013,UK Domestic,North UK,S02,15,212.79,0.1,3191.85,319.18,0.2,574.53,3447.2
INV-2024-0116,2024-12-02,C012,P035,EU Export,Germany,S07,10,809.47,0.0,8094.7,0.0,0.19,1537.99,9632.69
INV-2023-0117,2023-12-08,C078,P016,UK Domestic,North UK,S01,8,118.6,0.05,948.8,47.44,0.2,180.27,1081.63
INV-2023-0118,2023-07-15,C006,P005,EU Export,France,S08,3,135.66,0.0,406.98,0.0,0.2,81.4,488.38
INV-2023-0119,2023-05-03,C054,P006,EU Export,Germany,S07,8,125.3,0.1,1002.4,100.24,0.19,171.41,1073.57
INV-2023-0120,2023-12-17,C055,P006,EU Export,France,S08,5,127.52,0.0,637.6,0.0,0.2,127.52,765.12
INV-2023-0121,2023-05-25,C024,P006,UK Domestic,Midlands,S05,2,128.03,0.0,256.06,0.0,0.2,51.21,307.27
INV-2023-0122,2023-12-09,C018,P012,UK Domestic,Scotland,S06,10,358.67,0.05,3586.7,179.34,0.2,681.47,4088.83
INV-2023-0123,2023-02-07,C065,P020,UK Domestic,South UK,S04,2,258.98,0.1,517.96,51.8,0.2,93.23,559.39
INV-2024-0124,2024-11-15,C005,P009,EU Export,Germany,S07,25,57.57,0.05,1439.25,71.96,0.19,259.79,1627.08
INV-2023-0125,2023-06-05,C018,P012,UK Domestic,Scotland,S06,10,343.88,0.05,3438.8,171.94,0.2,653.37,3920.23
INV-2023-0126,2023-10-14,C041,P025,EU Export,France,S08,1,256.38,0.0,256.38,0.0,0.2,51.28,307.66
INV-2024-0127,2024-06-25,C072,P016,UK Domestic,South UK,S04,10,114.08,0.0,1140.8,0.0,0.2,228.16,1368.96
INV-2023-0128,2023-12-02,C045,P008,UK Domestic,Midlands,S05,5,189.68,0.0,948.4,0.0,0.2,189.68,1138.08
INV-2023-0129,2023-01-20,C026,P007,EU Export,Germany,S07,8,354.11,0.0,2832.88,0.0,0.19,538.25,3371.13
INV-2024-0130,2024-10-27,C051,P022,UK Domestic,South UK,S03,25,56.87,0.0,1421.75,0.0,0.2,284.35,1706.1
INV-2023-0131,2023-03-25,C046,P019,UK Domestic,Scotland,S06,20,2305.74,0.0,46114.8,0.0,0.2,9222.96,55337.76
INV-2023-0132,2023-04-25,C025,P012,UK Domestic,Scotland,S06,15,366.5,0.05,5497.5,274.88,0.2,1044.52,6267.14
INV-2023-0133,2023-10-05,C078,P019,UK Domestic,North UK,S02,5,2162.47,0.0,10812.35,0.0,0.2,2162.47,12974.82
INV-2023-0134,2023-05-13,C020,P006,EU Export,France,S08,5,130.74,0.0,653.7,0.0,0.2,130.74,784.44
INV-2023-0135,2023-05-28,C072,P003,UK Domestic,South UK,S04,10,1223.63,0.0,12236.3,0.0,0.2,2447.26,14683.56
INV-2024-0136,2024-12-21,C009,P013,UK Domestic,South UK,S03,50,216.3,0.1,10815.0,1081.5,0.2,1946.7,11680.2
INV-2024-0137,2024-09-08,C021,P006,EU Export,Spain,S08,20,131.98,0.1,2639.6,263.96,0.21,498.88,2874.52
INV-2024-0138,2024-02-24,C048,P009,EU Export,France,S08,25,59.09,0.0,1477.25,0.0,0.2,295.45,1772.7
INV-2023-0139,2023-09-13,C039,P016,UK Domestic,Scotland,S06,5,111.87,0.0,559.35,0.0,0.2,111.87,671.22
INV-2024-0140,2024-04-12,C025,P019,UK Domestic,Scotland,S06,3,2263.56,0.0,6790.68,0.0,0.2,1358.14,8148.82
INV-2024-0141,2024-02-01,C005,P011,EU Export,Germany,S07,3,765.65,0.0,2296.95,0.0,0.19,436.42,2733.37
INV-2024-0142,2024-12-26,C026,P028,EU Export,Germany,S07,5,70.95,0.05,354.75,17.74,0.19,64.03,401.04
INV-2024-0143,2024-07-29,C051,P015,UK Domestic,South UK,S03,10,291.82,0.0,2918.2,0.0,0.2,583.64,3501.84
INV-2024-0144,2024-11-20,C068,P038,EU Export,Germany,S07,3,231.21,0.05,693.63,34.68,0.19,125.2,784.15
INV-2024-0145,2024-11-26,C016,P003,UK Domestic,South UK,S04,20,1259.17,0.05,25183.4,1259.17,0.2,4784.85,28709.08
INV-2024-0146,2024-09-26,C011,P028,UK Domestic,Scotland,S06,5,66.61,0.0,333.05,0.0,0.2,66.61,399.66
INV-2023-0147,2023-05-21,C066,P022,UK Domestic,Midlands,S05,10,58.71,0.0,587.1,0.0,0.2,117.42,704.52
INV-2024-0148,2024-10-18,C035,P029,EU Export,Spain,S08,10,58.9,0.0,589.0,0.0,0.21,123.69,712.69
INV-2023-0149,2023-12-10,C025,P025,UK Domestic,Scotland,S06,10,269.86,0.0,2698.6,0.0,0.2,539.72,3238.32
INV-2024-0150,2024-11-01,C034,P017,EU Export,France,S08,40,115.66,0.05,4626.4,231.32,0.2,879.02,5274.1
INV-2023-0151,2023-04-17,C075,P020,EU Export,Germany,S07,8,249.47,0.0,1995.76,0.0,0.19,379.19,2374.95
INV-2024-0152,2024-08-22,C052,P017,UK Domestic,Midlands,S05,30,120.44,0.05,3613.2,180.66,0.2,686.51,4119.05
INV-2023-0153,2023-05-12,C026,P008,EU Export,Germany,S07,20,191.0,0.0,3820.0,0.0,0.19,725.8,4545.8
INV-2024-0154,2024-03-08,C063,P032,EU Export,Spain,S08,8,89.4,0.05,715.2,35.76,0.21,142.68,822.12
INV-2023-0155,2023-04-13,C068,P004,EU Export,Germany,S07,8,556.03,0.05,4448.24,222.41,0.19,802.91,5028.74
INV-2023-0156,2023-05-11,C019,P024,EU Export,Germany,S07,20,56.67,0.05,1133.4,56.67,0.19,204.58,1281.31
INV-2024-0157,2024-06-11,C046,P008,UK Domestic,Scotland,S06,8,195.65,0.0,1565.2,0.0,0.2,313.04,1878.24
INV-2024-0158,2024-11-07,C049,P013,EU Export,Spain,S08,10,221.22,0.1,2212.2,221.22,0.21,418.11,2409.09
INV-2023-0159,2023-05-13,C049,P016,EU Export,Spain,S08,15,116.66,0.0,1749.9,0.0,0.21,367.48,2117.38
INV-2024-0160,2024-10-15,C075,P018,EU Export,Germany,S07,20,105.22,0.1,2104.4,210.44,0.19,359.85,2253.81
INV-2024-0161,2024-06-21,C013,P018,EU Export,France,S08,15,111.84,0.0,1677.6,0.0,0.2,335.52,2013.12
INV-2024-0162,2024-07-12,C075,P035,EU Export,Germany,S07,10,883.06,0.0,8830.6,0.0,0.19,1677.81,10508.41
INV-2024-0163,2024-12-23,C068,P004,EU Export,Germany,S07,40,571.59,0.1,22863.6,2286.36,0.19,3909.68,24486.92
INV-2024-0164,2024-01-19,C050,P013,UK Domestic,North UK,S01,2,220.84,0.0,441.68,0.0,0.2,88.34,530.02
INV-2024-0165,2024-08-29,C001,P011,UK Domestic,North UK,S01,8,758.37,0.0,6066.96,0.0,0.2,1213.39,7280.35
INV-2024-0166,2024-11-14,C028,P011,EU Export,Spain,S08,20,805.61,0.0,16112.2,0.0,0.21,3383.56,19495.76
INV-2023-0167,2023-07-04,C041,P005,EU Export,France,S08,3,138.44,0.0,415.32,0.0,0.2,83.06,498.38
INV-2023-0168,2023-11-14,C072,P012,UK Domestic,South UK,S03,15,344.88,0.05,5173.2,258.66,0.2,982.91,5897.45
INV-2023-0169,2023-01-13,C055,P006,EU Export,France,S08,50,125.03,0.0,6251.5,0.0,0.2,1250.3,7501.8
INV-2023-0170,2023-11-11,C007,P040,EU Export,Spain,S08,10,106.67,0.05,1066.7,53.34,0.21,212.81,1226.17
INV-2023-0171,2023-03-06,C063,P007,EU Export,Spain,S08,30,358.79,0.0,10763.7,0.0,0.21,2260.38,13024.08
INV-2023-0172,2023-06-09,C004,P015,UK Domestic,Scotland,S06,15,282.14,0.0,4232.1,0.0,0.2,846.42,5078.52
INV-2024-0173,2024-08-09,C041,P017,EU Export,France,S08,10,116.39,0.0,1163.9,0.0,0.2,232.78,1396.68
INV-2024-0174,2024-02-27,C013,P006,EU Export,France,S08,30,125.24,0.1,3757.2,375.72,0.2,676.3,4057.78
INV-2023-0175,2023-10-16,C024,P021,UK Domestic,Midlands,S05,10,88.34,0.0,883.4,0.0,0.2,176.68,1060.08
INV-2023-0176,2023-05-15,C060,P021,UK Domestic,Scotland,S06,1,83.96,0.0,83.96,0.0,0.2,16.79,100.75
INV-2023-0177,2023-07-08,C055,P001,EU Export,France,S08,2,2718.62,0.05,5437.24,271.86,0.2,1033.08,6198.46
INV-2023-0178,2023-05-31,C055,P008,EU Export,France,S08,2,208.23,0.0,416.46,0.0,0.2,83.29,499.75
INV-2024-0179,2024-07-02,C069,P029,EU Export,France,S08,8,64.32,0.05,514.56,25.73,0.2,97.77,586.6
INV-2023-0180,2023-06-19,C025,P032,UK Domestic,Scotland,S06,1,86.13,0.0,86.13,0.0,0.2,17.23,103.36
INV-2023-0181,2023-06-22,C004,P006,UK Domestic,Scotland,S06,15,120.68,0.0,1810.2,0.0,0.2,362.04,2172.24
INV-2024-0182,2024-10-28,C066,P011,UK Domestic,Midlands,S05,5,771.4,0.0,3857.0,0.0,0.2,771.4,4628.4
INV-2024-0183,2024-03-28,C023,P020,UK Domestic,South UK,S04,10,246.61,0.05,2466.1,123.3,0.2,468.56,2811.36
INV-2023-0184,2023-11-25,C025,P036,UK Domestic,Scotland,S06,25,210.84,0.0,5271.0,0.0,0.2,1054.2,6325.2
INV-2024-0185,2024-10-13,C043,P032,UK Domestic,North UK,S01,25,86.81,0.0,2170.25,0.0,0.2,434.05,2604.3
INV-2023-0186,2023-01-22,C023,P017,UK Domestic,South UK,S04,15,113.74,0.0,1706.1,0.0,0.2,341.22,2047.32
INV-2023-0187,2023-05-03,C068,P039,EU Export,Germany,S07,10,352.92,0.0,3529.2,0.0,0.19,670.55,4199.75
INV-2023-0188,2023-08-07,C003,P034,UK Domestic,Midlands,S05,3,545.21,0.05,1635.63,81.78,0.2,310.77,1864.62
INV-2023-0189,2023-08-08,C046,P021,UK Domestic,Scotland,S06,25,86.28,0.0,2157.0,0.0,0.2,431.4,2588.4
INV-2023-0190,2023-01-11,C011,P033,UK Domestic,Scotland,S06,30,592.01,0.05,17760.3,888.02,0.2,3374.46,20246.74
INV-2024-0191,2024-04-05,C055,P006,EU Export,France,S08,40,126.61,0.0,5064.4,0.0,0.2,1012.88,6077.28
INV-2023-0192,2023-10-22,C045,P002,UK Domestic,Midlands,S05,3,538.01,0.05,1614.03,80.7,0.2,306.67,1840.0
INV-2023-0193,2023-03-21,C051,P008,UK Domestic,South UK,S04,8,200.56,0.0,1604.48,0.0,0.2,320.9,1925.38
INV-2023-0194,2023-10-05,C060,P010,UK Domestic,Scotland,S06,15,1539.91,0.0,23098.65,0.0,0.2,4619.73,27718.38
INV-2024-0195,2024-05-20,C075,P025,EU Export,Germany,S07,5,270.93,0.0,1354.65,0.0,0.19,257.38,1612.03
INV-2023-0196,2023-07-31,C051,P002,UK Domestic,South UK,S03,10,553.85,0.05,5538.5,276.92,0.2,1052.32,6313.9
INV-2023-0197,2023-09-21,C064,P004,UK Domestic,North UK,S02,2,546.3,0.05,1092.6,54.63,0.2,207.59,1245.56
INV-2023-0198,2023-12-29,C057,P014,UK Domestic,North UK,S01,5,697.35,0.05,3486.75,174.34,0.2,662.48,3974.89
INV-2024-0199,2024-08-26,C058,P009,UK Domestic,South UK,S03,15,56.21,0.0,843.15,0.0,0.2,168.63,1011.78
INV-2023-0200,2023-03-29,C072,P005,UK Domestic,South UK,S04,50,133.91,0.0,6695.5,0.0,0.2,1339.1,8034.6
INV-2023-0201,2023-06-05,C046,P031,UK Domestic,Scotland,S06,20,707.5,0.05,14150.0,707.5,0.2,2688.5,16131.0
INV-2024-0202,2024-05-17,C057,P030,UK Domestic,North UK,S02,5,71.65,0.0,358.25,0.0,0.2,71.65,429.9
INV-2023-0203,2023-07-01,C078,P036,UK Domestic,North UK,S01,1,216.68,0.05,216.68,10.83,0.2,41.17,247.02
INV-2024-0204,2024-11-17,C016,P018,UK Domestic,South UK,S04,40,106.94,0.0,4277.6,0.0,0.2,855.52,5133.12
INV-2024-0205,2024-06-14,C025,P035,UK Domestic,Scotland,S06,75,812.56,0.1,60942.0,6094.2,0.2,10969.56,65817.36
