ExpenseID,Date,DepartmentID,ExpenseCategory,Vendor,CostCenter,ExpenseAmount,BudgetCategory,IsPlanned
EXP-2023-0092,2023-02-14,D04,Software & Tools,Adobe Creative Cloud,CC-FIN,2789.23,Variable,True
EXP-2023-0093,2023-02-08,D05,Software & Tools,Atlassian,CC-HR,3407.78,Variable,True
EXP-2023-0094,2023-02-13,D06,Software & Tools,SAP Business One,CC-IT,6546.22,Variable,True
EXP-2023-0095,2023-02-27,D01,Equipment & Maintenance,Kärcher Professional,CC-SALES,769.15,Variable,False
EXP-2023-0096,2023-02-09,D02,Equipment & Maintenance,Kärcher Professional,CC-MKTG,788.07,Variable,True
EXP-2023-0097,2023-02-13,D03,Equipment & Maintenance,Caterpillar Equipment,CC-OPS,16688.16,Variable,True
EXP-2023-0098,2023-02-09,D04,Equipment & Maintenance,Konica Minolta,CC-FIN,1402.23,Variable,True
EXP-2023-0099,2023-02-24,D05,Equipment & Maintenance,Kärcher Professional,CC-HR,3224.1,Variable,False
EXP-2023-0100,2023-02-07,D06,Equipment & Maintenance,Hilti Tools,CC-IT,3843.92,Variable,False
EXP-2023-0101,2023-02-22,D01,Office Supplies,Staples Business,CC-SALES,1772.42,Variable,True
EXP-2023-0102,2023-02-22,D02,Office Supplies,Amazon Business,CC-MKTG,1805.04,Variable,True
EXP-2023-0103,2023-02-24,D03,Office Supplies,Viking Direct,CC-OPS,3336.77,Variable,True
EXP-2023-0104,2023-02-13,D04,Office Supplies,Viking Direct,CC-FIN,1527.4,Variable,True
EXP-2023-0105,2023-02-22,D05,Office Supplies,Viking Direct,CC-HR,1056.57,Variable,True
EXP-2023-0106,2023-02-20,D06,Office Supplies,Office Depot Europe,CC-IT,1156.13,Variable,False
EXP-2023-0107,2023-02-10,D01,Training & Development,FranklinCovey Europe,CC-SALES,2102.66,Discretionary,True
EXP-2023-0108,2023-02-21,D02,Training & Development,LinkedIn Learning,CC-MKTG,1433.56,Discretionary,True
EXP-2023-0109,2023-02-07,D03,Training & Development,Udemy Business,CC-OPS,2460.35,Discretionary,True
EXP-2023-0110,2023-02-24,D04,Training & Development,CIPD Training,CC-FIN,990.78,Discretionary,False
EXP-2023-0111,2023-02-22,D05,Training & Development,LinkedIn Learning,CC-HR,2282.34,Discretionary,True
EXP-2023-0112,2023-02-08,D06,Training & Development,CIPD Training,CC-IT,879.0,Discretionary,False
EXP-2023-0113,2023-02-16,D01,Other,Iron Mountain Storage,CC-SALES,1619.09,Variable,False
EXP-2023-0114,2023-02-21,D01,Other, miscellaneous,CC-SALES,971.84,Variable,True
EXP-2023-0115,2023-02-08,D02,Other, miscellaneous,CC-MKTG,382.5,Variable,True
EXP-2023-0116,2023-02-14,D02,Other,DHL Supply Chain,CC-MKTG,569.45,Variable,True
EXP-2023-0117,2023-02-02,D03,Other,DHL Supply Chain,CC-OPS,1312.44,Variable,False
EXP-2023-0118,2023-02-15,D03,Other, miscellaneous,CC-OPS,1416.36,Variable,True
EXP-2023-0119,2023-02-15,D04,Other, miscellaneous,CC-FIN,1055.77,Variable,True
EXP-2023-0120,2023-02-15,D04,Other, miscellaneous,CC-FIN,950.74,Variable,False
EXP-2023-0121,2023-02-08,D05,Other,DHL Supply Chain,CC-HR,604.93,Variable,True
EXP-2023-0122,2023-02-09,D05,Other,Iron Mountain Storage,CC-HR,613.9,Variable,True
EXP-2023-0123,2023-02-03,D06,Other,Waste Management UK,CC-IT,502.7,Variable,True
EXP-2023-0124,2023-02-07,D06,Other,DHL Supply Chain,CC-IT,547.25,Variable,True
EXP-2023-0125,2023-03-15,D01,Salaries & Benefits,Apex Payroll Services,CC-SALES,86200.22,Fixed,True
EXP-2023-0126,2023-03-27,D02,Salaries & Benefits,HMRC PAYE,CC-MKTG,20035.89,Fixed,True
EXP-2023-0127,2023-03-31,D03,Salaries & Benefits,HMRC PAYE,CC-OPS,101185.54,Fixed,True
EXP-2023-0128,2023-03-13,D04,Salaries & Benefits,Apex Payroll Services,CC-FIN,27742.91,Fixed,True
EXP-2023-0129,2023-03-10,D05,Salaries & Benefits,HMRC PAYE,CC-HR,9322.72,Fixed,True
EXP-2023-0130,2023-03-31,D06,Salaries & Benefits,HMRC PAYE,CC-IT,47462.06,Fixed,True
EXP-2023-0131,2023-03-20,D01,Rent & Utilities,E.ON Energy,CC-SALES,5391.06,Fixed,True
EXP-2023-0132,2023-03-09,D01,Rent & Utilities,British Gas Business,CC-SALES,4457.63,Fixed,True
EXP-2023-0133,2023-03-13,D02,Rent & Utilities,Severn Trent Water,CC-MKTG,3336.23,Fixed,True
EXP-2023-0134,2023-03-13,D02,Rent & Utilities,BT Business,CC-MKTG,3830.96,Fixed,True
EXP-2023-0135,2023-03-15,D03,Rent & Utilities,Vodafone Business,CC-OPS,6588.32,Fixed,True
EXP-2023-0136,2023-03-01,D03,Rent & Utilities,British Gas Business,CC-OPS,12461.2,Fixed,True
EXP-2023-0137,2023-03-22,D04,Rent & Utilities,Severn Trent Water,CC-FIN,2415.41,Fixed,True
EXP-2023-0138,2023-03-14,D04,Rent & Utilities,Regus Office Solutions,CC-FIN,1501.11,Fixed,True
EXP-2023-0139,2023-03-06,D05,Rent & Utilities,British Gas Business,CC-HR,1455.17,Fixed,True
EXP-2023-0140,2023-03-07,D05,Rent & Utilities,Regus Office Solutions,CC-HR,909.14,Fixed,True
EXP-2023-0141,2023-03-29,D06,Rent & Utilities,Severn Trent Water,CC-IT,1938.32,Fixed,True
EXP-2023-0142,2023-03-31,D06,Rent & Utilities,Severn Trent Water,CC-IT,1850.86,Fixed,True
EXP-2023-0143,2023-03-02,D01,Marketing & Advertising,TradeShow Expo,CC-SALES,4436.83,Discretionary,True
EXP-2023-0144,2023-03-21,D02,Marketing & Advertising,Google Ads,CC-MKTG,14934.87,Discretionary,False
EXP-2023-0145,2023-03-07,D02,Marketing & Advertising,LinkedIn Business,CC-MKTG,16045.15,Discretionary,False
EXP-2023-0146,2023-03-16,D02,Marketing & Advertising,TradeShow Expo,CC-MKTG,8217.39,Discretionary,True
EXP-2023-0147,2023-03-15,D02,Marketing & Advertising,Eventbrite Corporate,CC-MKTG,9220.15,Discretionary,False
EXP-2023-0148,2023-03-31,D03,Marketing & Advertising,TradeShow Expo,CC-OPS,1193.49,Discretionary,True
EXP-2023-0149,2023-03-22,D06,Marketing & Advertising,LinkedIn Business,CC-IT,2125.9,Discretionary,False
EXP-2023-0150,2023-03-08,D01,Travel & Entertainment,Marriott Business,CC-SALES,2912.16,Discretionary,True
EXP-2023-0151,2023-03-02,D01,Travel & Entertainment,Expedia Business Travel,CC-SALES,4444.09,Discretionary,True
EXP-2023-0152,2023-03-01,D01,Travel & Entertainment,British Airways Business,CC-SALES,9318.25,Discretionary,True
EXP-2023-0153,2023-03-21,D01,Travel & Entertainment,Booking.com for Business,CC-SALES,4828.37,Discretionary,True
EXP-2023-0154,2023-03-21,D02,Travel & Entertainment,Marriott Business,CC-MKTG,3025.02,Discretionary,True
EXP-2023-0155,2023-03-14,D03,Travel & Entertainment,Uber for Business,CC-OPS,5219.97,Discretionary,True
EXP-2023-0156,2023-03-03,D04,Travel & Entertainment,Uber for Business,CC-FIN,568.6,Discretionary,False
EXP-2023-0157,2023-03-20,D04,Travel & Entertainment,British Airways Business,CC-FIN,910.99,Discretionary,True
EXP-2023-0158,2023-03-16,D05,Travel & Entertainment,Booking.com for Business,CC-HR,606.57,Discretionary,True
EXP-2023-0159,2023-03-20,D05,Travel & Entertainment,Hertz Corporate,CC-HR,616.86,Discretionary,True
EXP-2023-0160,2023-03-14,D06,Travel & Entertainment,British Airways Business,CC-IT,1191.62,Discretionary,True
EXP-2023-0161,2023-03-23,D06,Travel & Entertainment,Booking.com for Business,CC-IT,728.72,Discretionary,True
EXP-2023-0162,2023-03-08,D01,Software & Tools,Adobe Creative Cloud,CC-SALES,1542.93,Variable,True
EXP-2023-0163,2023-03-16,D01,Software & Tools,Adobe Creative Cloud,CC-SALES,1441.79,Variable,True
EXP-2023-0164,2023-03-24,D01,Software & Tools,Slack Technologies,CC-SALES,1280.92,Variable,True
EXP-2023-0165,2023-03-09,D01,Software & Tools,Slack Technologies,CC-SALES,1080.79,Variable,True
EXP-2023-0166,2023-03-07,D02,Software & Tools,SAP Business One,CC-MKTG,1335.2,Variable,True
EXP-2023-0167,2023-03-23,D02,Software & Tools,SAP Business One,CC-MKTG,1159.41,Variable,True
EXP-2023-0168,2023-03-09,D02,Software & Tools,Salesforce Europe,CC-MKTG,1255.39,Variable,True
EXP-2023-0169,2023-03-20,D02,Software & Tools,Zoom Video Communications,CC-MKTG,1786.12,Variable,True
EXP-2023-0170,2023-03-10,D03,Software & Tools,SAP Business One,CC-OPS,1153.67,Variable,True
EXP-2023-0171,2023-03-23,D03,Software & Tools,Salesforce Europe,CC-OPS,740.59,Variable,True
EXP-2023-0172,2023-03-02,D03,Software & Tools,Slack Technologies,CC-OPS,584.39,Variable,True
EXP-2023-0173,2023-03-21,D03,Software & Tools,Slack Technologies,CC-OPS,694.76,Variable,False
EXP-2023-0174,2023-03-01,D04,Software & Tools,Atlassian,CC-FIN,1502.79,Variable,True
EXP-2023-0175,2023-03-06,D04,Software & Tools,Slack Technologies,CC-FIN,1034.34,Variable,True
EXP-2023-0176,2023-03-27,D04,Software & Tools,Microsoft Licensing,CC-FIN,1002.48,Variable,False
EXP-2023-0177,2023-03-21,D04,Software & Tools,Microsoft Licensing,CC-FIN,1150.71,Variable,True
EXP-2023-0178,2023-03-31,D05,Software & Tools,Zoom Video Communications,CC-HR,535.74,Variable,True
EXP-2023-0179,2023-03-14,D05,Software & Tools,SAP Business One,CC-HR,556.79,Variable,True
EXP-2023-0180,2023-03-17,D05,Software & Tools,Slack Technologies,CC-HR,897.42,Variable,True
EXP-2023-0181,2023-03-28,D05,Software & Tools,Adobe Creative Cloud,CC-HR,800.34,Variable,True
EXP-2023-0182,2023-03-20,D06,Software & Tools,Slack Technologies,CC-IT,3480.06,Variable,True
EXP-2023-0183,2023-03-31,D06,Software & Tools,Microsoft Licensing,CC-IT,2719.26,Variable,True
EXP-2023-0184,2023-03-22,D06,Software & Tools,Atlassian,CC-IT,1915.58,Variable,True
EXP-2023-0185,2023-03-03,D06,Software & Tools,Microsoft Licensing,CC-IT,1814.11,Variable,True
EXP-2023-0186,2023-03-02,D01,Office Supplies,Office Depot Europe,CC-SALES,1943.15,Variable,True
EXP-2023-0187,2023-03-28,D02,Office Supplies,Amazon Business,CC-MKTG,1868.59,Variable,True
EXP-2023-0188,2023-03-09,D03,Office Supplies,Office Depot Europe,CC-OPS,2217.19,Variable,True
EXP-2023-0189,2023-03-21,D04,Office Supplies,Amazon Business,CC-FIN,1586.44,Variable,True
EXP-2023-0190,2023-03-03,D05,Office Supplies,Amazon Business,CC-HR,1492.57,Variable,True
EXP-2023-0191,2023-03-24,D06,Office Supplies,Staples Business,CC-IT,824.33,Variable,True
EXP-2023-0192,2023-03-10,D01,Training & Development,Udemy Business,CC-SALES,1070.24,Discretionary,True
EXP-2023-0193,2023-03-16,D01,Training & Development,FranklinCovey Europe,CC-SALES,1523.41,Discretionary,True
EXP-2023-0194,2023-03-14,D02,Training & Development,FranklinCovey Europe,CC-MKTG,560.55,Discretionary,True
EXP-2023-0195,2023-03-08,D02,Training & Development,Udemy Business,CC-MKTG,913.76,Discretionary,True
EXP-2023-0196,2023-03-22,D03,Training & Development,CIPD Training,CC-OPS,1504.26,Discretionary,True
EXP-2023-0197,2023-03-06,D03,Training & Development,Udemy Business,CC-OPS,1492.03,Discretionary,False
EXP-2023-0198,2023-03-09,D04,Training & Development,FranklinCovey Europe,CC-FIN,571.03,Discretionary,True
EXP-2023-0199,2023-03-27,D04,Training & Development,LinkedIn Learning,CC-FIN,786.13,Discretionary,True
EXP-2023-0200,2023-03-14,D05,Training & Development,FranklinCovey Europe,CC-HR,1547.15,Discretionary,True
EXP-2023-0201,2023-03-06,D05,Training & Development,Udemy Business,CC-HR,963.95,Discretionary,True
EXP-2023-0202,2023-03-22,D06,Training & Development,Udemy Business,CC-IT,522.74,Discretionary,True
EXP-2023-0203,2023-03-15,D06,Training & Development,FranklinCovey Europe,CC-IT,703.6,Discretionary,True
EXP-2023-0204,2023-04-04,D01,Salaries & Benefits,HealthShield Insurance,CC-SALES,74177.51,Fixed,True
EXP-2023-0205,2023-04-27,D02,Salaries & Benefits,HMRC PAYE,CC-MKTG,39834.46,Fixed,True
EXP-2023-0206,2023-04-18,D03,Salaries & Benefits,Apex Payroll Services,CC-OPS,125000.24,Fixed,True
EXP-2023-0207,2023-04-07,D04,Salaries & Benefits,HMRC PAYE,CC-FIN,20085.41,Fixed,True
EXP-2023-0208,2023-04-25,D05,Salaries & Benefits,BenefitHub,CC-HR,13711.95,Fixed,True
EXP-2023-0209,2023-04-25,D06,Salaries & Benefits,HMRC PAYE,CC-IT,40712.1,Fixed,True
EXP-2023-0210,2023-04-05,D01,Rent & Utilities,British Gas Business,CC-SALES,7322.8,Fixed,True
EXP-2023-0211,2023-04-04,D02,Rent & Utilities,BT Business,CC-MKTG,6415.83,Fixed,True
EXP-2023-0212,2023-04-20,D03,Rent & Utilities,Regus Office Solutions,CC-OPS,24813.31,Fixed,True
EXP-2023-0213,2023-04-10,D04,Rent & Utilities,British Gas Business,CC-FIN,5255.22,Fixed,True
EXP-2023-0214,2023-04-14,D05,Rent & Utilities,E.ON Energy,CC-HR,1374.61,Fixed,True
EXP-2023-0215,2023-04-27,D06,Rent & Utilities,Regus Office Solutions,CC-IT,3508.92,Fixed,True
EXP-2023-0216,2023-04-10,D01,Marketing & Advertising,LinkedIn Business,CC-SALES,7454.45,Discretionary,True
EXP-2023-0217,2023-04-18,D02,Marketing & Advertising,Eventbrite Corporate,CC-MKTG,7277.69,Discretionary,False
EXP-2023-0218,2023-04-17,D02,Marketing & Advertising,Google Ads,CC-MKTG,8061.06,Discretionary,False
EXP-2023-0219,2023-04-25,D02,Marketing & Advertising,Eventbrite Corporate,CC-MKTG,11586.32,Discretionary,False
EXP-2023-0220,2023-04-26,D02,Marketing & Advertising,TradeShow Expo,CC-MKTG,11409.15,Discretionary,True
EXP-2023-0221,2023-04-24,D02,Marketing & Advertising,Mailchimp,CC-MKTG,7233.23,Discretionary,True
EXP-2023-0222,2023-04-28,D02,Marketing & Advertising,Meta for Business,CC-MKTG,11288.72,Discretionary,True
EXP-2023-0223,2023-04-25,D04,Marketing & Advertising,Mailchimp,CC-FIN,1316.63,Discretionary,True
EXP-2023-0224,2023-04-19,D05,Marketing & Advertising,HubSpot Europe,CC-HR,2692.56,Discretionary,False
EXP-2023-0225,2023-04-11,D06,Marketing & Advertising,Google Ads,CC-IT,2569.62,Discretionary,True
EXP-2023-0226,2023-04-21,D01,Travel & Entertainment,Booking.com for Business,CC-SALES,5338.38,Discretionary,False
EXP-2023-0227,2023-04-17,D01,Travel & Entertainment,Hertz Corporate,CC-SALES,3824.2,Discretionary,True
EXP-2023-0228,2023-04-28,D01,Travel & Entertainment,Uber for Business,CC-SALES,3322.63,Discretionary,True
EXP-2023-0229,2023-04-24,D01,Travel & Entertainment,Booking.com for Business,CC-SALES,2609.32,Discretionary,False
EXP-2023-0230,2023-04-26,D03,Travel & Entertainment,Marriott Business,CC-OPS,5761.86,Discretionary,True
EXP-2023-0231,2023-04-03,D04,Travel & Entertainment,British Airways Business,CC-FIN,1533.47,Discretionary,True
EXP-2023-0232,2023-04-11,D05,Travel & Entertainment,Marriott Business,CC-HR,1797.1,Discretionary,True
EXP-2023-0233,2023-04-18,D06,Travel & Entertainment,Marriott Business,CC-IT,914.24,Discretionary,True
EXP-2023-0234,2023-04-10,D06,Travel & Entertainment,Expedia Business Travel,CC-IT,763.5,Discretionary,True
EXP-2023-0235,2023-04-06,D01,Equipment & Maintenance,Caterpillar Equipment,CC-SALES,1359.33,Variable,True
EXP-2023-0236,2023-04-10,D02,Equipment & Maintenance,Konica Minolta,CC-MKTG,944.52,Variable,True
EXP-2023-0237,2023-04-19,D03,Equipment & Maintenance,Hilti Tools,CC-OPS,12148.28,Variable,True
EXP-2023-0238,2023-04-20,D04,Equipment & Maintenance,Konica Minolta,CC-FIN,5104.81,Variable,False
EXP-2023-0239,2023-04-21,D05,Equipment & Maintenance,Konica Minolta,CC-HR,891.75,Variable,False
EXP-2023-0240,2023-04-10,D06,Equipment & Maintenance,Hilti Tools,CC-IT,4354.45,Variable,True
EXP-2023-0241,2023-04-19,D01,Office Supplies,Amazon Business,CC-SALES,556.11,Variable,False
EXP-2023-0242,2023-04-28,D01,Office Supplies,Viking Direct,CC-SALES,937.53,Variable,True
EXP-2023-0243,2023-04-04,D02,Office Supplies,Viking Direct,CC-MKTG,854.3,Variable,True
EXP-2023-0244,2023-04-10,D02,Office Supplies,Amazon Business,CC-MKTG,1018.23,Variable,True
EXP-2023-0245,2023-04-13,D03,Office Supplies,Viking Direct,CC-OPS,1042.12,Variable,True
EXP-2023-0246,2023-04-25,D03,Office Supplies,Viking Direct,CC-OPS,1023.43,Variable,False
EXP-2023-0247,2023-04-27,D04,Office Supplies,Staples Business,CC-FIN,1120.92,Variable,True
EXP-2023-0248,2023-04-26,D04,Office Supplies,Viking Direct,CC-FIN,1029.88,Variable,True
EXP-2023-0249,2023-04-25,D05,Office Supplies,Viking Direct,CC-HR,436.05,Variable,True
EXP-2023-0250,2023-04-21,D05,Office Supplies,Amazon Business,CC-HR,620.21,Variable,False
EXP-2023-0251,2023-04-19,D06,Office Supplies,Staples Business,CC-IT,476.52,Variable,True
